CatID	keyID	param	param_suffix	suffixID	suffixCatID	Notes
7	713	TWOTONE				
7	714	LTE							
7	714	LTE	FDD	714A	8	
7	714	LTE	TDD	714B	8	
7	714	LTE	UPLINK	714C	8	
7	714	LTE	QPSK	714D	8	
7	714	LTE	16QAM	714F	8	
7	714	LTE	64QAM	714G	8	
7	714	LTE	QPSK	714H	8	
7	714	LTE	16QAM	714I	8	

8	801	Lower				IIP3 Test Lower 
8	802	Upper				IIP3 Test Upper
8	803	Phase				for Spara Test 
8	804	BEL				for Spara Test 
8	805	MB				for Spara Test 
8	806	BEH				for Spara Test 
8	807	MAX				for Spara Test 
8	808	MIN				for Spara Test 

9	901	Sweep				
9	902	FixedPin				
9	903	FixedPout				

10	1001	(\d+dBm$)				any string end with number + "dBm"
11	1101	(\d+MHz$)				any string end with number + "MHz"
11	1102	(\d+GHz$)				any string end with number + "GHz"
12	1201	(^CH\d+)				any string start with "CH" + number
13	1301	(^S\d+)				any string start with "S" + number
13	1302	(^GDEL\d+)				any string start with "GDEL" + number

14	1401	(^ANT)				any string start with "ANT"
14	1402	(^IN)				any string start with "IN"
14	1403	(^OUT)				any string start with "OUT"

15	1501	(\d+V$)				any string end with number + "V"
15	1502	(\d+Vcc$)				any string end with number + "Vcc"

16	1601	(\d+Vdd$)				any string end with number + "Vdd"
16	1602	(\d+Vlna$)				any string end with number + "Vlna"


17	1701	(^0x[0-9A-F][0-9A-F]$)				any string start with "0x"2 hex digits, first digit 0-F, second digit 0-F
17	1702	(^DAC)	(^0x[0-9A-F][0-9A-F]$)	1702A	19	DAC_BC, DACQ1_00

18	1801	RT				Room Temp
18	1802	LT				Low Temp
18	1803	HT				Hot Temp

98	9801	x			'x' as place holder	

99	9901	note				free text at the end of header	
